,word,spam
0,great,1
1,parttime,1
2,summer,1
3,job,1
4,display,1
5,box,1
6,credit,1
7,application,1
8,need,1
9,place,1
10,small,1
11,owneroperate,1
12,store,1
13,area,1
14,here,1
15,introduce,1
16,yourself,1
17,store.1,1
18,owner,1
19,manager,1
20,our,1
21,effective,1
22,script,1
23,tell,1
24,little,1
25,display.1,1
26,box.1,1
27,save,1
28,customer,1
29,hundred,1
30,dollar,1
31,draw,1
32,card,1
33,business,1
34,every,1
35,app,1
36,send,1
37,spot,1
38,counter,1
39,place.1,1
40,box.2,1
41,nothing,1
42,need.1,1
43,need.2,1
44,name,1
45,address,1
46,company,1
47,send.1,1
48,commission,1
49,check,1
50,compensaation,1
51,every.1,1
52,box.3,1
53,place.2,1
54,become,1
55,representative,1
56,earn,1
57,commission.1,1
58,each,1
59,application.1,1
60,store.2,1
61,course,1
62,much,1
63,profitable,1
64,plan,1
65,pay,1
66,month,1
67,small.1,1
68,effort,1
69,call,1
70,code,1
71,hours,1
72,receive,1
73,detail,1
74,removed,1
75,our.1,1
76,mailing,1
77,list,1
78,type,1
79,hotmail,1
80,com,1
81,area.1,1
82,remove,1
83,subject,1
84,area.2,1
85,mail,1
86,send.2,1
87,auto,1
88,insurance,1
89,rate,1
90,too,1
91,high,1
92,dear,1
93,nlpeople,1
94,sure,1
95,ll,1
96,agree,1
97,auto.1,1
98,insurance.1,1
99,cost,1
100,too.1,1
101,much,1
102,even,1
103,drive,1
104,record,1
105,routine,1
106,rate.1,1
107,increase,1
108,drive.1,1
109,cost.1,1
110,through,1
111,roof,1
112,discover,1
113,many,1
114,sign,1
115,excellent,1
116,company,1
117,amazingly,1
118,low,1
119,rate.2,1
120,half,1
121,most,1
122,rate.3,1
123,ve,1
124,shop,1
125,around,1
126,insurance.2,1
127,southern,1
128,californium,1
129,most.1,1
130,either,1
131,qualify,1
132,friend,1
133,qualify.1,1
134,love,1
135,nt,1
136,qualify.2,1
137,another,1
138,company.1,1
139,operate,1
140,several,1
141,western,1
142,state,1
143,cheaper,1
144,many.1,1
145,company.2,1
146,claim,1
147,lowest,1
148,rate.4,1
149,available,1
150,send,1
151,cash,1
152,pva,1
153,kenmore,1
154,ave,1
155,lo,1
156,angele,1
157,ca,1
158,fold,1
159,piece,1
160,paper,1
161,mail,1
162,address,1
163,rush,1
164,information,1
165,right,1
166,away,1
167,prefer,1
168,hardcopy,1
169,printout,1
170,enclose,1
171,selfaddress,1
172,stamp,1
173,envelope,1
174,bonus,1
175,include,1
176,two,1
177,mechanic,1
178,s.1,1
179,tip,1
180,save,1
181,lot,1
182,certain,1
183,common,1
184,repair,1
185,job,1
186,quick,1
187,easy,1
188,check,1
189,general,1
190,condition,1
191,engine,1
192,nt.1,1
193,repair.1,1
