,Rooms,Material,Total area,Live area,Kitchen,Toilet type,Price,Floor,TotalFloor
0,1,26,28.8,19.3,3.0,7,2750,4.0,7.0
1,1,27,27.0,18.5,4.0,8,3455,1.0,5.0
2,1,14,42.0,26.0,9.0,7,3700,1.0,6.0
3,1,14,31.0,16.9,9.0,8,3800,1.0,4.0
4,1,14,29.3,16.7,5.0,7,4000,5.0,6.0
5,1,26,30.6,17.0,6.0,8,4000,1.0,4.0
6,1,26,43.5,24.5,6.7,7,4070,1.0,5.0
7,1,26,47.0,18.2,14.6,8,4200,1.0,6.0
8,1,14,33.3,15.4,7.3,7,4554,5.0,5.0
9,1,24,35.4,29.9,8.0,8,4708,4.0,5.0
10,1,27,44.5,18.0,10.0,7,4900,2.0,4.0
11,1,24,44.7,31.5,10.0,8,5138,1.0,5.0
12,1,25,52.5,16.7,22.2,8,5300,1.0,5.0
13,1,14,41.0,0.0,0.0,2,5350,1.0,6.0
14,1,26,33.6,22.8,6.6,5,5800,4.0,7.0
15,1,18,44.5,17.5,11.0,8,5850,7.0,9.0
16,1,24,49.3,39.6,10.0,8,5924,4.0,5.0
17,1,24,45.7,18.3,10.0,8,5947,2.0,5.0
18,1,24,46.0,33.5,10.0,8,5986,3.0,5.0
19,1,24,50.2,40.3,10.0,8,6032,3.0,5.0
20,1,15,41.1,17.7,9.4,7,6250,15.0,19.0
21,1,24,48.1,33.9,10.0,8,6260,4.0,5.0
22,1,18,42.3,20.3,12.4,8,7200,6.0,11.0
23,1,19,45.0,17.0,15.0,2,8500,10.0,12.0
24,1,14,80.3,32.0,10.2,7,9800,2.0,4.0
25,2,26,40.0,28.4,4.0,8,3250,1.0,5.0
26,2,23,35.0,22.0,6.5,8,3585,1.0,5.0
27,2,25,42.0,24.5,10.0,8,4250,4.0,5.0
28,2,14,32.5,16.0,7.0,8,4400,5.0,6.0
29,2,10,60.3,27.7,18.8,7,4600,3.0,5.0
30,2,27,52.0,30.0,9.0,5,4700,3.0,5.0
31,2,14,51.0,34.3,6.0,8,4850,1.0,5.0
32,2,26,48.0,31.0,7.0,8,5000,5.0,6.0
33,2,27,56.0,33.0,8.0,7,5000,1.0,6.0
34,2,27,52.0,31.1,8.5,7,5100,1.0,4.0
35,2,14,54.7,34.2,7.9,7,5300,4.0,4.0
36,2,27,64.2,28.1,10.7,7,5400,1.0,4.0
